pop1 ecotype1 pop2 ecotype2 region1 region2 geography_strict geography_relaxed group_strict group_relaxed intercept recomb_rate ds gene_count
al marine cl marine ns ns allo para allo_S para_S -4.37689748061157 -0.00134907427509294 -0.631706713681557 -0.245286799164448
al marine cl white ns ns allo para allo_D para_D -4.61705212088043 -0.279126134044934 -0.112649282357376 -0.188897879429629
al marine cp marine ns ns para para para_S para_S -7.58586965359501 -0.112037364161405 1.0259169446334 0.138588322621898
al marine ln marine ns ns allo para allo_S para_S -4.57645697389899 0.0114870186442436 -1.72301625210881 0.0119780325397371
al marine mh marine ns ns allo para allo_S para_S -5.48240698270782 -0.0041703138464399 0.279875475985088 -0.25678114440872
al marine mh white ns ns allo para allo_D para_D -4.77322129023482 -0.133499812362879 0.341313479966099 -0.145166859288011
al marine sk marine ns ns allo para allo_S para_S -6.81479742746375 -0.0567934571262736 0.955341126202739 0.0601964547266289
al marine sr marine ns ns allo para allo_S para_S -5.25168327498824 0.0370697876665766 0.578594872906115 -0.534922664230373
al marine sr white ns ns allo para allo_D para_D -4.68822103035158 -0.334172109172708 0.00716932092022698 -0.21283296524016
bea lake al marine al ns allo allo allo_D allo_D -4.51777069042959 0.00264462846497413 0.0446229457496377 0.0249969691024486
bea lake boot lake al bc allo allo allo_S allo_S -5.31938322143354 0.0173124539177781 0.670919002039127 -0.0594259705538684
bea lake boot stream al bc allo allo allo_D allo_D -3.24387446220278 0.00637741438773663 -1.06509666724557 -0.140140524154361
bea lake cl marine al ns allo allo allo_D allo_D -5.38883739252613 0.0198654962686737 1.26849051339037 -0.0678769179293135
bea lake cl white al ns allo allo allo_D allo_D -4.40830605700523 0.00936372016007731 -0.405257691788931 0.0723727684845572
bea lake constance lake al sl allo allo allo_S allo_S -3.50040691032474 -0.0880060268069499 -0.396089179894285 -0.256479104537461
bea lake constance stream al sl allo allo allo_D allo_D -4.69214182064717 0.00351098163574629 0.30010563413883 -0.14022070097647
bea lake cp marine al ns allo allo allo_D allo_D -4.87388143875435 -0.0536046842047799 0.975351091285759 -0.116198326064614
bea lake denmark marine al ne allo allo allo_D allo_D -5.44027180745249 -0.131668671574402 1.02520235560026 0.0491655205258119
bea lake geneva lake al sl allo allo allo_S allo_S -4.39537242803618 0.0132129864954623 -0.234535432264189 -0.158206240221763
bea lake geneva stream al sl allo allo allo_D allo_D -4.15095558663881 0.0182621049871641 -0.447905680222517 -0.179461566564784
bea lake japan japansea al jp allo allo allo_D allo_D -4.32091794991208 -0.0853518247072106 0.161758923907222 -0.137480066400268
bea lake japan marine al jp allo allo allo_D allo_D -2.13045785564064 -0.523942852766862 -1.05966237574514 -0.0861179140492579
bea lake joes lake al bc allo allo allo_S allo_S -4.08965397353755 0.0102289623084582 -0.16526498348221 -0.199460388457455
bea lake joes stream al bc allo allo allo_D allo_D -4.17759606597893 -0.000496414238240645 0.151236395665425 -0.204684763484737
bea lake litcampbell marine al bc allo allo allo_D allo_D -5.60305893007705 -0.083074001776968 1.49449952164207 -0.133793194947042
bea lake ln marine al ns allo allo allo_D allo_D -4.58304480682025 -0.112182552683535 0.614804509765338 0.0165230102268022
bea lake mh marine al ns allo allo allo_D allo_D -3.29087966811828 0.0254235772227169 -0.847418187367026 -0.0813756908762402
bea lake mh white al ns allo allo allo_D allo_D -4.5094572603986 0.0371299729923896 0.00785557192840269 0.0050557242204782
bea lake misty lake al bc allo allo allo_S allo_S -5.25632674193006 -0.0399164889643649 0.891910628479326 -0.0295474720860404
bea lake misty stream al bc allo allo allo_D allo_D -4.33852749392471 -6.55694142268837e-05 0.158665181830674 -0.104001859264782
bea lake mud lake al al allo para allo_S para_S -4.86196245058676 -0.179598217616839 -0.00989298406961128 0.0572341796499137
bea lake rab marine al al allo para allo_D para_D -2.80681287439682 -0.679549210583579 -0.378173043604171 0.0133741953954342
bea lake res marine al al allo para allo_D para_D -2.71996599905123 -0.452731609664104 -0.505703561365541 0.00721873427475412
bea lake roberts lake al bc allo allo allo_S allo_S -4.86266383719525 0.0147346813168649 0.581715377810578 -0.1287779984708
bea lake roberts stream al bc allo allo allo_D allo_D -4.39172240833528 0.0099338498253979 0.320496907335532 -0.178351978134803
bea lake sk marine al ns allo allo allo_D allo_D -4.4169617277629 0.0185304858966364 -0.14070347828169 0.0217493391136931
bea lake sr marine al ns allo allo allo_D allo_D -4.58641893364297 0.00130482368868095 0.340028683976187 0.0104748893915508
bea lake sr white al ns allo allo allo_D allo_D -5.68683959010315 0.00449825892426181 1.17894144395764 0.0292452428940675
boot lake al marine bc ns allo allo allo_D allo_D -4.33647197885747 0.0224894594813374 0.50286259100025 -0.130383838611094
boot lake boot stream bc bc para para para_D para_D -2.10769773749437 -0.715764886433277 -0.821552744230247 -0.0980417368172534
boot lake cl marine bc ns allo allo allo_D allo_D -4.28847972320527 0.038967859809171 0.0345337236247113 -0.0555259836201959
boot lake cl white bc ns allo allo allo_D allo_D -5.02794155703255 0.0211129615321071 0.805709096342651 -0.00294270188472938
boot lake constance lake bc sl allo allo allo_S allo_S -6.5510893206838 -0.480357541795902 2.06074813597876 -0.0311107085564224
boot lake constance stream bc sl allo allo allo_D allo_D -6.23953411854338 -0.496356176782195 1.88128977519544 -0.0214084020859716
boot lake cp marine bc ns allo allo allo_D allo_D -1.68395248087646 -0.155105516045211 -2.04335587700246 -0.107545943169461
boot lake geneva lake bc sl allo allo allo_S allo_S -6.63906492335173 -0.677175453584675 1.9873118703797 0.0232168369723932
boot lake geneva stream bc sl allo allo allo_D allo_D -6.34723431754599 -0.126967907503387 1.52319994833123 -0.118089003099457
boot lake joes lake bc bc allo para allo_S para_S -3.1038311176707 -0.240132481842206 -2.64880892211429 0.0603781465606155
boot lake joes stream bc bc allo para allo_D para_D -4.02294979470941 -0.279978344272369 -1.40676128007471 0.0653038498619819
boot lake ln marine bc ns allo allo allo_D allo_D -3.59570460560001 -0.077674409327474 0.119050154443457 -0.101619261754169
boot lake mh marine bc ns allo allo allo_D allo_D -5.34915184801769 0.0234866619695985 1.47509470539291 -0.0860802874731933
boot lake mh white bc ns allo allo allo_D allo_D -3.69036139337662 0.0390330195420736 -0.391341880505094 -0.170803740117199
boot lake misty lake bc bc allo para allo_S para_S -3.52632121541967 -0.650338388741839 -0.315202955822471 0.0195619449015243
boot lake misty stream bc bc allo para allo_D para_D -3.31687318741531 -0.733898933491124 -0.259724565582665 0.0109189672024451
boot lake roberts lake bc bc allo para allo_S para_S -4.52654775826383 -0.210219450900028 0.146645157451799 0.0243045641749535
boot lake roberts stream bc bc allo para allo_D para_D -3.89997426091288 -0.470999908307977 -0.339268372480362 0.036896983006532
